SUBJECT,ITEM,LEXICALITY,REPETITION,CASE,RT,ACCURACY
2,12,word,repeated,lowercase,637.1,1
2,13,word,repeated,lowercase,653.94,1
2,14,word,repeated,lowercase,879.22,1
2,15,word,repeated,lowercase,834.18,1
2,16,word,repeated,lowercase,662.38,1
2,17,word,repeated,lowercase,660.01,1
2,18,word,repeated,lowercase,477.58,1
2,19,word,repeated,lowercase,574.95,1
2,20,word,repeated,lowercase,646.53,1
2,21,word,repeated,lowercase,704.16,1
2,22,word,repeated,lowercase,580.72,1
2,23,word,repeated,lowercase,640.9,1
2,24,word,repeated,lowercase,534.22,1
2,25,word,repeated,lowercase,649.9,1
2,26,word,repeated,lowercase,742.42,1
2,27,word,repeated,lowercase,699.54,1
2,28,word,repeated,lowercase,526.99,1
2,29,word,repeated,lowercase,583.02,1
2,30,word,repeated,lowercase,582.47,1
2,31,word,repeated,alternating,629.55,1
2,32,word,repeated,alternating,457.61,1
2,33,word,repeated,alternating,722.83,1
2,34,word,repeated,alternating,589.97,1
2,35,word,repeated,alternating,652.67,1
2,36,word,repeated,alternating,587.51,1
2,37,word,repeated,alternating,580.3,1
2,38,word,repeated,alternating,704.64,1
2,39,word,repeated,alternating,869.97,1
2,40,word,repeated,alternating,596.6,1
2,41,word,repeated,alternating,573.83,1
2,42,word,repeated,alternating,728.43,1
2,43,word,repeated,alternating,731.78,1
2,44,word,repeated,alternating,597.51,1
2,45,word,repeated,alternating,573.11,1
2,46,word,repeated,alternating,580.7,1
2,47,word,repeated,alternating,530.83,1
2,48,word,repeated,alternating,851.24,1
2,49,word,repeated,alternating,512.36,1
2,50,word,repeated,alternating,572.83,1
2,51,word,repeated,alternating,656.8,1
2,52,word,repeated,alternating,742.9,1
2,53,word,repeated,alternating,806.17,1
2,54,word,repeated,alternating,668.04,1
2,55,word,repeated,alternating,591.48,1
2,56,word,repeated,alternating,552.93,1
2,57,word,repeated,alternating,779.78,1
2,58,word,repeated,alternating,515.54,1
2,59,word,repeated,alternating,659.96,1
2,60,word,repeated,alternating,518.47,1
2,61,word,unrelated,lowercase,754.16,1
2,62,word,unrelated,lowercase,571.31,1
2,63,word,unrelated,lowercase,793.77,1
2,64,word,unrelated,lowercase,970.36,1
2,65,word,unrelated,lowercase,755.87,1
2,66,word,unrelated,lowercase,721.03,1
2,67,word,unrelated,lowercase,529.59,1
2,68,word,unrelated,lowercase,604.94,1
2,69,word,unrelated,lowercase,602.66,1
2,70,word,unrelated,lowercase,738.79,1
2,71,word,unrelated,lowercase,655.28,1
2,72,word,unrelated,lowercase,850.84,1
2,73,word,unrelated,lowercase,660.63,1
2,74,word,unrelated,lowercase,683.63,1
2,75,word,unrelated,lowercase,670.11,1
2,76,word,unrelated,lowercase,638.24,1
2,77,word,unrelated,lowercase,627.11,1
2,78,word,unrelated,lowercase,611.64,1
2,79,word,unrelated,lowercase,690.56,1
2,80,word,unrelated,lowercase,751.65,1
2,81,word,unrelated,lowercase,602.24,1
2,82,word,unrelated,lowercase,NA,0
2,83,word,unrelated,lowercase,639.33,1
2,84,word,unrelated,lowercase,555.56,1
